Wrong Word,Count
is,8
the,6
it,4
and,4
life,3
giraffe,3
i,2
in,2
yeah,2
a,2
could,2
doctors,1
taking,1
wavid,1
temperature,1
there,1
getting,1
weather,1
by,1
accident,1
he,1
let,1
go,1
of,1
know,1
wrapped,1
this,1
guy,1
balloon,1
wants,1
what,1
jurassic,1
will,1
dance,1
no,1
ball,1
prudence,1
pinch,1
your,1
story,1
film,1
slept,1
found,1
she,1
only,1
cold,1
cup,1
rushing,1
over,1
bed,1
cave,1
as,1
on,1
plane,1
with,1
then,1
mad,1
god,1
see,1
some,1
pain,1
into,1
just,1
can,1
reach,1
quiet,1
plate,1
goes,1
back,1
to,1
drawer,1
him,1
collapse,1
animals,1
cry,1
