Wrong Word,Count
the,17
is,7
he,7
and,5
in,4
a,4
i,4
get,3
elephant,3
it,3
said,3
no,3
they,3
we,2
not,2
to,2
draft,2
him,2
you,2
was,2
helping,2
then,2
um,2
making,2
or,2
his,2
now,2
castle,2
your,2
rabbit,2
own,2
balloon,2
one,2
have,2
any,1
updates,1
begin,1
21,1
lehr,1
school,1
drafts,1
can,1
her,1
fall,1
down,1
hurt,1
crying,1
help,1
thank,1
looked,1
at,1
that,1
delay,1
bleeding,1
mikey,1
awesome,1
home,1
like,1
maneuver,1
links,1
ウォトゴング,1
got,1
mad,1
happy,1
okay,1
think,1
were,1
up,1
best,1
friend,1
more,1
already,1
go,1
into,1
right,1
off,1
dirt,1
hill,1
on,1
mul,1
safe,1
lake,1
blague,1
around,1
intersection,1
play,1
plane,1
please,1
maybe,1
says,1
yes,1
어쭈우,1
kangaroo,1
buddy,1
bunny,1
building,1
oh,1
sorry,1
bully,1
ram,1
darlings,1
calling,1
daughter,1
including,1
mv,1
familiarity,1
will,1
bluom,1
way,1
dr,1
five,1
cents,1
am,1
gonna,1
two,1
balloons,1
gives,1
all,1
are,1
gone,1
flies,1
away,1
them,1
again,1
