Wrong Word,Count
and,22
the,19
he,16
then,10
is,10
in,7
him,6
out,6
to,6
other,6
two,6
you,6
not,5
my,5
that,4
a,4
i,4
but,4
it,4
kids,4
accidentally,4
do,4
put,4
what,4
can,4
get,3
for,3
checks,2
says,2
going,2
give,2
checkup,2
hours,2
his,2
high,2
sees,2
one,2
balloon,2
starts,2
taking,2
off,2
wagon,2
yelling,2
lets,2
go,2
really,2
on,2
board,2
guy,2
shows,2
balloons,2
are,2
5,2
cents,2
camera,2
boy,2
jesus,2
yes,2
pull,2
slaps,2
hurts,2
me,2
lifeguard,2
calls,2
they,2
hurt,2
spot,2
your,2
own,2
choose,2
decide,2
no,2
running,2
here,2
please,2
us,2
way,2
dropped,2
pool,2
join,2
data,2
if,2
try,2
does,2
know,2
sand,2
castle,2
let,2
create,2
them,2
cans,2
first,2
ls,1
this,1
too,1
clean,1
three,1
delayed,1
every,1
appointment,1
everything,1
was,1
classroom,1
six,1
did,1
sleep,1
about,1
6,1
smokeching,1
tried,1
break,1
spine,1
forgot,1
så,1
vi,1
får,1
skrabbi,1
sho,1
