Wrong Word,Count
the,10
and,6
is,5
it,5
to,4
you,2
see,2
balloon,2
he,2
go,2
can,2
get,2
wants,2
an,2
have,2
life,2
over,2
doctors,1
taking,1
rabbits,1
down,1
trail,1
all,1
leave,1
getting,1
grabbing,1
by,1
accident,1
let,1
of,1
bunny,1
asks,1
if,1
one,1
flaps,1
duoscently,1
about,1
single,1
ball,1
poor,1
uhh,1
your,1
story,1
lfl,1
off,1
diving,1
board,1
found,1
she,1
could,1
me,1
that,1
called,1
comes,1
rushing,1
at,1
event,1
box,1
bed,1
also,1
airplane,1
with,1
god,1
some,1
pain,1
happens,1
lifeconscious,1
stretch,1
out,1
reach,1
giraffe,1
quite,1
her,1
collapse,1
quiet,1
just,1
like,1
a,1
pick,1
together,1
