Wrong Word,Count
the,22
and,11
two,8
you,8
he,6
out,6
is,6
then,4
that,4
ball,4
pool,4
in,4
on,4
put,4
not,4
can,4
it,3
to,3
checks,2
him,2
check,2
tins,2
which,2
high,2
so,2
important,2
guys,2
shows,2
them,2
balloons,2
are,2
5,2
cents,2
camera,2
these,2
kids,2
she,2
dancing,2
really,2
fast,2
by,2
a,2
falls,2
we,2
said,2
diving,2
board,2
looks,2
fun,2
runs,2
slips,2
hurts,2
her,2
knee,2
lifeguard,2
comes,2
puts,2
end,2
date,2
hurt,2
spot,2
your,2
own,2
show,2
his,2
airplane,2
plays,2
with,2
did,2
join,2
my,2
ladder,2
just,2
some,2
if,2
try,2
get,2
does,2
know,2
what,2
do,2
sand,2
castle,2
first,2
bench,1
sign,1
no,1
running,1
eat,1
go,1
